Donnée,"Nom 
Fichier",ID status,Accès ? libre/restreint,Donnée valide ? o/n,Diffusable en 2015 ?,Import serveur 2016,scripts lancés,AOT / Ville,,Format,Date téléchargement,Lien d'accès aux données
,,,,,,,,,,,,
5_opendata – Données SIG,,,,,,,,,,,,
tlc,,119,libre,o,o,o,o,cd41,,,12/06/15,http://www.pilote41.fr/lopendata-du-loir-et-cher#Cvie
buscephale,,120,libre,o,o,o,o,cd71,,xml,12/06/15,http://www.opendata71.fr/accedez-aux-donnees-brutes?url=http://opendata71interactive.cloudapp.net/DataBrowser/dataviz/CG71DTIPointsArret
tibus,,133,libre,o,o,o,o,cd22,,csv,16/06/15,http://datarmor.cotesdarmor.fr/web/guest/donnees 
tub,,134,libre,o,o,o,o,St Brieuc,,csv,16/06/15,http://datarmor.cotesdarmor.fr/web/guest/donnees 
transports_departementaux_eure,,128,libre,o,o,o,o,cd27,,csv,16/06/15,http://www.opendata-27-76.fr/jeux-de-donnees/cg27-transports-points-darret/
transports_departementaux_seine_maritime,,129,libre,o,o,o,o,cd76,,csv,16/06/15,http://www.opendata-27-76.fr/jeux-de-donnees/coordonnees-des-points-darret-des-transports-de-seine-maritime/
anjoubus,,121,libre,o,o,o,o,cd49,,shp,16/06/15,http://www.opendata49.fr/index.php?id=38
mobivie,,124,libre,o,o,o,o,craig,,shp,16/06/15,http://ids.craig.fr/geocat/apps/search/?uuid=9fd5c01a-bf37-43c6-bb4c-67ce91e077a9
maelis,,123,libre,o,o,o,o,craig,,shp,16/06/15,http://ids.craig.fr/geocat/apps/search/?uuid=7c2ecdc2-9010-4649-939d-28c31cefd5b2
transports_departementaux_bas_rhin,,135,libre,o,o,o,o,cd67,,shp,18/06/15,https://www.cigalsace.org/geoserver/web/?wicket:bookmarkablePage=:org.geoserver.web.demo.MapPreviewPage
transports_departementaux_hauts_de_seine,,132,libre,o,o,o,o,cd92,,shp,16/06/15,http://opendata.hauts-de-seine.net/jeu-de-donnees/stations-des-bus-haut-niveau-de-service-bhns
ksma,,125,libre,o,o,o,o,St malo agglo,,shp,16/06/15,https://www.data.gouv.fr/fr/datasets/emplacement-des-arrets-de-bus-du-reseau-transport-saint-malo-agglomeration-2/
tam_bus,,130,libre,o,o,o,o,montpellier,,shp,16/06/15,http://data.montpellier-agglo.com/?q=node/191
tam_tram,,131,libre,o,o,o,o,montpellier,,shp,16/06/15,http://data.montpellier-agglo.com/?q=node/182
varlib,,141,libre,o,o,o,o,cd83,,csv,19/06/15,http://opendata.regionpaca.fr/donnees/detail/fichier-des-points-darrets-du-departement-du-var.html
vivacite,,145,libre,o,o,o,o,Auxerre,,csv,02/07/15,https://www.data.gouv.fr/fr/datasets/position-gps-des-arrets-de-bus-dauxerre/
tzen,,146,libre,o,o,o,o,DDT77,,shp,02/07/15,https://www.data.gouv.fr/fr/datasets/points-darrets-des-tzen1-senart-corbeil-et-du-projet-de-tzen2-senart-en-seine-et-marne/
tempobus,,147,libre,o,o,o,o,Agen,,shp,02/07/15,"https://data.agen.fr/explore/?refine.theme=Transports,+Déplacements"
