Donnée,"Nom 
Fichier",ID status,Accès ? libre/restreint,Donnée valide ? o/n,Diffusable en 2015 ?,Import serveur 2016,scripts lancés,AOT / Ville,,Format,Date téléchargement,Lien d'accès aux données
,,,,,,,,,,,,
1_opendata – Données Horaires,,,,,,,,,,,,
aixenbus,AIXENBUS,90,libre,o,o,o,o,'',Aix-en-provence,NEPTUNE,23/04/15,http://www.lepilote.com/presentation/?rub_code=92
bus_agglo,AGGLOBUS,91,libre,o,o,o,o,'',aubagne,NEPTUNE,23/04/15,''
bus_cigales,CIGALES,92,libre,o,o,o,o,'',marseille,NEPTUNE,23/04/15,''
bus_collines,BUSDESCOLLINES,93,libre,o,o,o,o,'',marseille,NEPTUNE,23/04/15,''
bus_cote_bleue,COTEBLEUE,94,libre,o,o,o,o,'',marseille,NEPTUNE,23/04/15,''
bus_etang,ETANG,95,libre,o,o,o,o,'',smiiteb,NEPTUNE,23/04/15,''
bus_marcouline,MARCOULINE,96,libre,o,o,o,o,'',marseille,NEPTUNE,23/04/15,''
cartreize,CG13,97,libre,o,o,o,o,'',cd13,NEPTUNE,23/04/15,''
ciotabus,CIOTABUS,98,libre,o,o,o,o,'',marseille,NEPTUNE,23/04/15,''
cpa,CPA,99,libre,o,o,o,o,'',Aix-en-provence,NEPTUNE,23/04/15,''
envia,ACCM,100,libre,o,o,o,o,LePilote,arles,NEPTUNE,23/04/15,''
frioul_if_express,FRIOUL,101,libre,o,o,o,o,'',marseille,NEPTUNE,23/04/15,''
libebus,LIBEBUS,102,libre,o,o,o,o,'',salon-de-provence,NEPTUNE,23/04/15,''
milsab,milsab,108,libre,o,o,o,o,'',,NEPTUNE,23/04/15,''
omnibus,OMNIBUS,103,libre,o,o,,,'',Aix-en-provence,NEPTUNE,23/04/15,''
rtm,RTM,104,libre,o,o,o,o,'',marseille,NEPTUNE,23/04/15,''
rtmnav,rtmnav,110,libre,o,o,o,o,'',marseille,NEPTUNE,23/04/15,''
