"Données Horaires open data","AOT / Ville","Réseau","Format","Date téléchargement","Lien d'accès aux données"
"aixenbus","Aix-en-provence","AIXENBUS","NEPTUNE","23/04/15","http://www.lepilote.com/presentation/?rub_code=92"
"bus_agglo","aubagne","AGGLOBUS","NEPTUNE","23/04/15","http://www.lepilote.com/presentation/?rub_code=92"
"bus_cigales","marseille","CIGALES","NEPTUNE","23/04/15","http://www.lepilote.com/presentation/?rub_code=92"
"bus_collines","marseille","BUSDESCOLLINES","NEPTUNE","23/04/15","http://www.lepilote.com/presentation/?rub_code=92"
"bus_cote_bleue","marseille","COTEBLEUE","NEPTUNE","23/04/15","http://www.lepilote.com/presentation/?rub_code=92"
"bus_etang","smiiteb","ETANG","NEPTUNE","23/04/15","http://www.lepilote.com/presentation/?rub_code=92"
"bus_marcouline","marseille","MARCOULINE","NEPTUNE","23/04/15","http://www.lepilote.com/presentation/?rub_code=92"
"cartreize","cd13","CG13","NEPTUNE","23/04/15","http://www.lepilote.com/presentation/?rub_code=92"
"ciotabus","marseille","CIOTABUS","NEPTUNE","23/04/15","http://www.lepilote.com/presentation/?rub_code=92"
"cpa","Aix-en-provence","CPA","NEPTUNE","23/04/15","http://www.lepilote.com/presentation/?rub_code=92"
"envia","arles","ACCM","NEPTUNE","23/04/15","http://www.lepilote.com/presentation/?rub_code=92"
"frioul_if_express","marseille","FRIOUL","NEPTUNE","23/04/15","http://www.lepilote.com/presentation/?rub_code=92"
"libebus","salon-de-provence","LIBEBUS","NEPTUNE","23/04/15","http://www.lepilote.com/presentation/?rub_code=92"
"milsab",,"milsab","NEPTUNE","23/04/15","http://www.lepilote.com/presentation/?rub_code=92"
"omnibus","Aix-en-provence","OMNIBUS","NEPTUNE","23/04/15","http://www.lepilote.com/presentation/?rub_code=92"
"rtm","marseille","RTM","NEPTUNE","23/04/15","http://www.lepilote.com/presentation/?rub_code=92"
"rtmnav","marseille","rtmnav","NEPTUNE","23/04/15","http://www.lepilote.com/presentation/?rub_code=92"
"ulysse","fos_martigues","SANPROVENCE","NEPTUNE","23/04/15","http://www.lepilote.com/presentation/?rub_code=92"
"tbc_bus","Bordeaux","KEOLIS_BUS","GTFS","24/06/15","http://data.lacub.fr/data.php?themes=10"
"tbc_tram","Bordeaux","KEOLIS_TRAM","GTFS","24/06/15","http://data.lacub.fr/data.php?themes=10"
"transgironde","cd33","TRANSGIRONDE","GTFS","23/04/15","http://www.datalocale.fr/drupal7/dataset/liste-lignereguliere-transgironde"
"lila","cd44","LILA","GTFS","04/05/15","http://data.loire-atlantique.fr/donnees/?facet[files_types_id%3A13]=on&keywords=&sort_search=date"
"tan","nantes","TAN","GTFS","29/04/15","http://data.loire-atlantique.fr/donnees/?facet[files_types_id%3A13]=on&keywords=&sort_search=date"
"ratp","STIF","RATP","GTFS","23/04/15","http://data.ratp.fr/fr/les-donnees/fiche-de-jeu-de-donnees/dataset/offre-transport-de-la-ratp-format-gtfs.html?tx_icsoddatastore_pi1[returnID]=38"
"transilien","STIF","TRANSILIEN","GTFS","13/01/15","http://opendata.transilien.com/"
"star","Rennes","STAR","GTFS","10/12/14","http://www.data.rennes-metropole.fr/les-donnees/catalogue/"
"cts","Strasbourg","CTS","GTFS","24/06/15","http://opendata.cts-strasbourg.fr/fichiers/gtfs/google_transit.zip"
"tisseo","Toulouse","TISSEO_METRO_BUS_TRAM","GTFS","23/04/15","https://data.toulouse-metropole.fr/les-donnees/-/opendata/card/16271-reseau-tisseo-metro-bus-tram-gtfs"
"stan","Nancy","STAN","GTFS","24/06/15","http://opendata.grand-nancy.org/jeux-de-donnees/detail-dune-fiche-de-donnees/?tx_icsoddatastore_pi1[page]=3&tx_icsoddatastore_pi1[uid]=108&tx_icsoddatastore_pi1[returnID]=447"
"angers","Angers","IRIGO","GTFS","24/06/15","http://data.angers.fr/donnees/mobilite-horaire-de-passage-theorique/"
"TER","sncf","TER","GTFS","23/04/15","https://www.data.gouv.fr/fr/datasets/horaires-des-lignes-ter-sncf/"
"INTERCITE","sncf","INTERCITE","GTFS","23/04/15","https://www.data.gouv.fr/fr/datasets/horaires-des-lignes-intercites-sncf/"
"tcl","grand lyon","tcl","NEPTUNE","16/06/15","http://data.grandlyon.com/search/?Q=TCL&P=2#searchResult"
"le_met","metz_metropole","metz","GTFS","19/06/15","https://www.data.gouv.fr/fr/datasets/transport-donnees-gtfs/"
"nice_lignes_azur","Nice Métropole","lignes_azur","GTFS","19/06/15","http://opendata.nicecotedazur.org/data/dataset/export-au-format-gtfs-du-reseau-de-transport-lignes-d-azur"
"capi","Bourgoin-Jallieu","Bourgoin-Jallieu","NEPTUNE","01/10/15","http://www.itinisere.fr/fr/donnees-open-data/74"
"dep38","Isère","cd38","NEPTUNE","01/10/15","http://www.itinisere.fr/fr/donnees-open-data/74"
"gresiv","Grésivaudan","Grésivaudan ","NEPTUNE","01/10/15","http://www.itinisere.fr/fr/donnees-open-data/74"
"vienne","Vienne","Vienne","NEPTUNE","01/10/15","http://www.itinisere.fr/fr/donnees-open-data/74"
"voiron","Voiron","Voiron","NEPTUNE","01/10/15","http://www.itinisere.fr/fr/donnees-open-data/74"
"tag","Metromobilité","Grenoble","GTFS","01/10/15","http://www.metromobilite.fr/data/Horaires/SEM-GTFS.zip"
"bibus","Brest","Brest","GTFS",,"https://geo.pays-de-brest.fr/donnees/Documents/Public/BrestMetropole_Bibus.zip"
"STIF","STIF","STIF","GTFS","19/11/15","http://opendata.stif.info/explore/dataset/offre-horaires-tc-gtfs-idf/"
